,officer,badge,assignment,bio
0,Marta Gonzales,,Baliff/Civil Deputy,"Named in December 5, 1973 memo from Captain R.D. Campbell in Administrative Services to T.H. Von Milden, Chief of Patrol Division East."
1,Robert S. Evans,,Baliff/Civil Deputy,"Named in December 5, 1973 memo from Captain R.D. Campbell in Administrative Services to T.H. Von Milden, Chief of Patrol Division East."
2,Clarence O. Buckingham,11573,"Transportation Bureau, 1973 Technical Services Division Deputy","Named in December 5, 1973 memo from Captain R.D. Campbell in Administrative Services to T.H. Von Milden, Chief of Patrol Division East."
3,William Rivera,076574,"Retired, 2002 Deputy","Named in December 5, 1973 memo from Captain R.D. Campbell in Administrative Services to T.H. Von Milden, Chief of Patrol Division East."
4,James Woofruff,035542,"Retired, 1975 East Los Angeles Station/Patrol Deputy","Named in December 5, 1973 memo from Captain R.D. Campbell in Administrative Services to T.H. Von Milden, Chief of Patrol Division East."
5,Steven Ruiz,,Lieutenant Compton Station Taskforce for Regional Auto-theft Prevention (TRAP),
6,Barragan,,"Sergeant Compton Station, 2020",
7,Bautista,,"Deputy Compton Station, 2020",
8,Eugene Contreras,,"Deputy Compton Station, 2019",
9,Edwin Barajas,,"Deputy Compton Station, 2019",
10,Andy Leos,,"Sergeant Compton Station Acting Watch Commander, 2017",
11,John Wargo,,"Lieutenant Compton Station, 2017",
12,Iliana Vargas,,"Deputy Compton Station, 2017",
13,Thatcher,,"Captain Compton Station, 2017",
14,Jesus Sandoval,,"Deputy Compton Station, 2016",
15,Jaime Juarez,,"Deputy Compton Station Training and Scheduling Deputy, 2016",
16,Rogelio Benzor,,,
17,Mizrain Orrego,532048,"Fired 2017 Deputy, 2018 Compton Station- Gang Enforcement Team Joined 2008",
18,Samuel Aldama,531565,"Deputy, 2019 Compton Station - Gang Enforcement Team",
19,Pedro Guerrero-Gonzales,526362,Deputy,
20,Ernesto Hernandez Posadas,506633,"Deputy, 2019 at least 2011-2014",
21,Jay Brown,526355,Deputy thru 2018,
22,John Davoren,,"Sergeant, 2014-2019 K9 handler, 2017 Deputy at least 2011 - 2013",
23,Edgar Bonilla,,"Deputy, 2019",
24,Miguel Ruiz,,"Deputy, 2019",
25,Rene Barragan,,"Deputy, 2019",
26,Edward Martinez,,"Deputy, listed thru 2014",
27,Juan P. Rodriguez,487906,Deputy,
28,Ryan Rothrock,,Deputy thru 2018,
29,Marc Elizondo,,"Deputy through 2016 East Los Angeles, 2012",
30,Alejandro Lomeli,,"Deputy, 2019 East Los Angeles, 2012",
31,Steven Miller,,"Deputy, 2019 East Los Angeles, 2012",
32,Monica Farias,,"Deputy, 2019 East Los Angeles, 2012",
33,Timothy Lee,,"Deputy Compton Station, 2014",
34,Juan Sanchez,,Deputy - East LA Station,
35,Edmundo Torres,,Lieutenant,
36,Leo Noyola,,,
37,Joe Mejia,,,
38,Danny Batanero,,Deputy Villanueva Security,
39,Jose Aceituno,,Deputy,
40,Christopher Moore,,Deputy,
41,Braulio Robledo,,,
42,Angelica Estrada,,Sergeant,
43,Zarendi,,Deputy,
44,Alex Villanueva,,Sheriff of Los Angeles County,
45,Bob Denham,,Chief,
46,Jose J. Rios,,Captain,
47,Chris Perez,,Captain,
48,Ernie Chavez,,Captain,
49,Eric Smitson,,Lieutenant,
50,Noel Lopez,,Deputy,
51,Silvano Garcia,,,
52,Raymond Mendoza,,,
53,Vincent Moran,,Deputy,
54,Carrie Esmeralda Robles-Placencia,,"Deputy, 2019 Patrol Trainee, 2017 Joined 2015?",
55,Michael Hernandez,,"Sergeant, 2019 MCJ, 2018",
56,David Silverio,,"Deputy, through 2018",
57,Gregory Rodriguez,,"Deputy - East LA Station, 2019",
58,Rafael Munoz,,"Deputy - East LA Station, 2019",
59,Mario Castro,,"Sergeant, 2012-2019 Deputy, 2011",
60,Sara Rodriguez,,"Sergeant, 2018-2019 Deputy, 2014-2017",
61,James Duran Jr.,,"Lieutenant, 2015-2019 Sergeant, 2011-2014",
62,Jonathan Rojas,602976,"Deputy, 2013- 2019 Trainee, 2012",
63,Nikolis Perez,602261,Deputy Has been promoted to field traning officer after shootings,
64,Veronica De La Rosa,,"Sergeant, 2019",
65,Henry Romero,,"Retired, Jan 2017 Commander - Custody Headquarters Twin Towers Correctional Facility Custody Division Specialized Programs, Oct 2015 – Jan 2017 Countywide Services Division Hall of Justice, Jun 2014 – Sep 2015 Central Patrol Division Sheriff’s Headquarters Bureau Feb 2013 – Jun 2014 Patrol Division Region 3 Sheriff’s Headquarters Bureau Oct 2012 – Feb 2013 Captain - East LA Station, Mar 2008 – Oct 2012 Lieutenant - Patrol Division Region I East LA Station, Mar 2000 – Mar 2008 Sergeant Internal Affairs Bureau, Aug 1996 – Mar 2000 Employment Duration - Region II Century Station, Mar 1994 – Aug 1996 Custody Division North County Correctional Facility Nov 1993 – Mar 1994 Bonus Deputy Advanced Training Bureau, Dec 1989 – Nov 1993 Deputy - Patrol Region II Firestone Station, Feb 1985 – Dec 1989 Custody Division Wayside Maximum Security Facility Jul 1983 – Feb 1985 Sheriff’s Academy Biscailuz Center Mar 1983 – Jun 1983 Off The Streeter, East LA, 2011 Custody Division - Biscailuz Detention Facility Feb 1983 – Mar 1983",
66,David Infante,,"Lieutenant, 2019 Century Station, 2011",
67,Troy Krautkramer,,"Deputy, 2019 East LA Station, 2012",
68,Christopher Valente,,"Deputy through 2015 East LA Station, 2011 Field Training Officer",
69,Eduardo Sanchez,,"Deputy, 2019 East LA Station, 2011",
70,Andrew Hernandez,,"Deputy, 2019 East LA Station, 2011",
71,Benjamin Zaredini,,"Deputy, 2019 East LA Station, 2011",
72,Joshua Smilor,,"Deputy, 2019 East LA Station, 2011",
73,Christopher Wargo,,"Fired for policy violations, 8/10/2020 Deputy LA Crescenta Station, 2012 Patrol East LA Station, 2011 Joined 2001",
74,Eric Valdez,,"Sergeant, 2017-2019 Deputy thru 2016 East LA Station, 2011 Field Training Officer",
75,Christopher Carpenter,,Deputy through 2013,
76,Eduardo Hernandez,,Lieteneant through 2016,
77,Steve Espericueta,,"Retired, collecting disability pension Deputy through 2017",
78,William Turpin,,"Deputy, 2019",
79,Steven Vargas,,"Deputy through 2013 Gang Enforcement Task Force, 2012",
80,Julio Martinez,,"Deputy through 2013 Gang Enforcement Task Force, 2012",
81,Curtis Sykes,,"Deputy through 2013 Gang Enforcement Task Force, 2012",
82,Ronnie Perez,,"Deputy, 2012 Gang Enforcement Task Force",
83,Douglas Parkhurst,,"Deputy through 2018 Gang Enforcement Task Force, 2012",
84,Anthony Paez,,"Deputy, 2019 Gang Enforcement Task Force, 2012",
85,Jason Lanska,,"Deputy, 2019 Gang Enforcement Task Force, 2012",
86,Lawrence Del Mese,,Villanueva Chief of Staff,
87,Caren Carl Mandoyan,,"Per OIG Exhibit 3, Subject Interview: Full Time Deputy, 2006 South LA Training Officer West Hollywood, 2/2007-2/2013 Became Training Officer, 2009 Inmate Reception Center Reserve Deputy, 2000-2006 Lennox Station Attended the Rio Hondo Module D Academy El Camino Reserve Academy Module A, B and C",
88,Ramon Munoz,,"Deputy through 2017 South Station, 2013",
89,Joshua Kelley-Eklund,,"Deputy through 2015 South Station, 2012",
90,Samuel Gomez,,"Sergeant: 2018, 2019 Deputy through 2017 South Station, 2012",
91,Lawrence Swanson Jr,,"Deputy, 2019 LASD SWAT Lennox/South Station 2010 MCJ through 2010",
92,David Chevez,,"Deputy through 2016 Sworn in as deputy, 2005",
93,Daniel Chavez,,"Deputy, 2014-2015 Sergeant, 2012-2013 Deputy, 2011",
94,Michael Shapiro,,"Retired 2017 Sergeant, 2012-2017 Deputy, 2011",
95,Joseph Nunez,,"Deputy, 2019",
96,Kimberly Milroy,,"Sergeant, 2019",
97,Mark Renfrow,,Sergeant through 2016,
98,Mark Guerrero,,"Lieutenant, 2013-2019 Sergeant, 2011-2012",
99,Jason Rodriguez,,"Deputy, 2019",
100,Patrick Rivera,,Deputy through 2012,
101,James Sharp,,"Deputy, 2019 Compton station, 2017 MCJ, 2007 Joined 2007",
102,Salvador Valencia Jr.,,Deputy through 2018,
103,Joshua Raniag,,"Deputy, 2019",
104,Kevin Ethridge,,"Deputy, 2019",
105,Augustine De La Torre Jr.,,"Deputy, 2019",
106,David Navarette,,Deputy,
107,Kevin Roberts,207270,Sergeant through 2014,
108,Shawnee Hinchman,460227,"Lieutenant, 2020 Sergeant through 2019 Joined March 1999",
109,Nicole Zonver,48132,Sergeant through 2016,
110,Edwin Alvarez,,"East LA Detective Bureau Lieutenant, 2019 Lieutenant through 2018",
111,Tracy Stewart,413093,"Lieutenant, 2019 Norwalk Station, 2018 Watch Commander",
112,Dan Fedele,,"Lieutenant, 2011-2019 Captain",
113,Ralph Ornelas,,"Advisory Chair, Harlem Lacrosse Jan 2016-Current Chief, Westminster Police Dept. 2017-2019 Retired, 2016 Commander, Aug 2013 – Feb 2016 Twin Towers/Century Regional Detention Center Commander, 2013-2016 Captain, Feb 2009 – Aug 2013 MCJ Lieutenant, Feb 2000 – Feb 2009 Sergeant, Feb 1992 – Feb 2000 Deputy, Aug 1979 – Feb 1992",
114,Mariano Ramirez,,"Deputy MCJ, 2009",
115,Joey Aguiar,,"Deputy MCJ, 2009",
116,Cecil Rhambo,,"Assistant Sheriff Oversees the leadership of the Department’s Custody Division, among 23 other responsibilities.",
117,Byron Dredd,,"Currently In Jail Convicted 2019 Deputy through 2013 MCJ, 2011",
118,Pantamitr Zunggeemoge,,"Deputy through 2017 MCJ, 2011",
119,Sussie Ayala,,"Deputy through 2016 MCJ, 2011",
120,Michael Ponce De Leon,,"Retired, Lieutenant 2017 Lieutenant, 2014 Lieutenant, 2013 Sergeant, 2012 Deputy Trainee/Sergeant, 2011",
121,Eric Gonzalez,,Sergeant MCJ - Visitation,
122,Duane Harris,,"Retired Captain, 2010-2017 San Dimas Station Homicide Bureau Narcotics Bureau MCJ Lieutenant, 2005 Homicide Bureau COPS Bureau Norwalk Station MCJ Sergeant, 1990 Operation Safe Streets Bureau Walnut/San Dimas Station Sheriff’s Radio Center Joined 1979, Deputy Special Enforcement Bureau Lynwood Station MCJ",
123,Noel Womack,,"Deputy MCJ Visiting Center, 2010",
124,Elizario Perez,,"Deputy, 2019 MCJ, 2010",
125,David Bradley Vasquez,,Sergeant 2017-2019 Deputy at least 2010-2017,
126,Fernando Vasquez,,Sergeant through 2013,
127,Scott Craig,,Sergeant,
128,Dennis Burns,,"Retired 2012 Chief Custody Operations, Correctional Services Division Formerly served as Captain of the LASD’s Internal Affairs Bureau",
129,Larry Waldie,,Retired in 2011 Undersheriff,
130,Mauricio Rodriguez,,"Deputy MCJ, 2010",
131,Jeffrey Rivera,,"Deputy MCJ, 2010",
132,Juan Navarro,,"Deputy MCJ, 2010",
133,Joseph Gonzalez,,"Deputy MCJ, 2010",
134,Alfonso Andrade,,"Deputy MCJ, 2010",
135,Fernando Luviano,,"Currently in Jail Convicted 2019 Deputy through 2016 MCJ, 2009",
136,Engelbert Perez,,"Deputy, 2013-2019 Deputy Trainee, 2012 Custody Assisstant, 2011",
137,Lance Moorman,,"Deputy, 2019",
138,Michael Thurman,,"Deputy, 2019",
139,Armando Ibarra,,"Deputy, 2019",
140,Alexander Yim,,Retired 2014 Chief at least 2011-2014 Custody Division,
141,Jason Snyder,,Deputy,
142,David Ortega,,"Custody Assistant, 2019 Demoted to Custody Assistant in 2008 Deputy until 2008",
143,Clifford Yates,,Sergeant through 2013; retired,
144,William Penhollow,,Deputy; 2019,
145,Christopher Kidder,,Deputy,
146,Adrian Zuniga,495521,"Deputy, 2019 Men’s Central Jail, 2009",
147,Carlos Castillo,533039,"Deputy, 2019 Operation Safe Jails, 2009",
148,David Aviles,513456,"Deputy through 2016 Compton Station, 2009",
149,Kelley Washington,,"Sergeant, 2011-2014; 2019 Green Extraction Team, 2008",
150,Hector Vazquez,,"Deputy, 2019 Lakewood Station, 2014 Green Extraction Team, 2008",
151,Matthew Thomas,,"Lieutenant, 2019 Men’s Central Jail Red Extraction Team, 2008",
152,Joseph Sanford,,"Deputy, 2019 Red Extraction Team, 2008",
