,geo
0,"(34.1086311, -118.7660445)"
1,"(33.8892144, -118.3228041)"
2,"(34.3871821, -118.1122679)"
3,"(33.957252, -118.448591)"
4,"(33.9525624, -118.2761258)"
5,"(34.3871821, -118.1122679)"
6,"(33.9164032, -118.3525748)"
7,
8,
9,"(33.989767, -118.2521176)"
10,"(34.1495807, -118.1361989)"
11,"(34.0907706, -118.3518347)"
12,"(33.8189293, -118.168734)"
13,"(34.0586224, -118.1947944)"
14,"(33.7990216, -118.1220703)"
15,"(34.3871821, -118.1122679)"
16,"(33.8862256, -118.1729449)"
17,"(33.968903, -118.2499421)"
18,"(33.8706237, -118.1969392)"
19,"(34.0768734, -118.3629105)"
20,"(34.0768734, -118.3629105)"
21,
22,"(34.0813573, -118.3832218)"
23,"(34.4360057, -118.5352938)"
24,"(33.878242, -118.1774202)"
25,"(33.9106237, -118.0190607)"
26,"(33.9678209, -118.1862695)"
27,"(33.9745764, -118.2497563)"
28,"(33.9745764, -118.2497563)"
29,"(33.9745764, -118.2497563)"
30,"(33.9745764, -118.2497563)"
31,"(33.9745764, -118.2497563)"
32,
33,"(34.0736028, -118.0684896)"
34,"(34.0116382, -117.9259946)"
35,"(34.0116382, -117.9259946)"
36,"(34.6781507, -118.097855)"
37,"(33.8748296, -118.1250286)"
38,"(34.6153063, -118.1499642)"
39,"(34.0821099, -118.9201109)"
40,"(33.8988005, -118.1797082)"
41,"(33.9412555, -118.2919286)"
42,"(33.9019764, -118.3047841)"
43,"(33.972977, -118.2311998)"
44,"(34.3871821, -118.1122679)"
45,"(34.3871821, -118.1122679)"
46,"(34.5866814, -118.1208826)"
47,"(33.9044116, -118.1969641)"
48,"(33.8912275, -118.0903162)"
49,"(34.561221, -118.0333762)"
50,"(33.9461169, -118.3549254)"
51,"(33.9080951, -118.1828971)"
52,"(33.9563293, -118.2473898)"
53,"(33.9563293, -118.2473898)"
54,"(34.0591544, -118.2454525)"
55,"(34.0591544, -118.2454525)"
56,"(34.1903377, -118.1493451)"
57,"(34.1903377, -118.1493451)"
58,"(33.9485033, -118.3087006)"
59,"(33.9295878, -118.2088138)"
60,"(33.9154925, -118.2674471)"
61,"(34.0337103, -117.9585854)"
62,"(34.0337103, -117.9585854)"
63,"(33.9221162, -118.3142278)"
64,"(33.9221162, -118.3142278)"
65,"(34.6812208, -118.1503254)"
66,"(34.6883924, -118.164015)"
67,"(34.6883924, -118.164015)"
68,"(33.8690064, -118.1713943)"
69,"(34.0546654, -118.0951194)"
70,"(34.0546654, -118.0951194)"
71,"(34.0546654, -118.0951194)"
72,"(33.9188096, -118.2595026)"
73,"(33.9832848, -118.2564521)"
74,"(33.8472864, -118.2379323)"
75,"(34.7564516, -118.796584)"
76,"(33.9461455, -118.2921868)"
77,"(33.8204565, -118.3086524)"
78,"(33.9505039, -118.2542434)"
79,"(33.8708362, -118.0748902)"
80,"(34.1241028, -118.4642107)"
81,"(33.9192735, -118.3091698)"
82,"(33.9846214, -118.2561473)"
83,"(34.3871821, -118.1122679)"
84,"(33.9388059, -118.3443742)"
85,"(34.0526555, -118.2182574)"
86,"(33.8316745, -118.281693)"
87,"(33.9608217, -118.169666)"
88,"(33.923592, -118.2037242)"
89,"(33.923592, -118.2037242)"
90,"(34.3871821, -118.1122679)"
91,"(34.3871821, -118.1122679)"
92,"(34.1209243, -117.9910271)"
93,"(33.9669506, -118.2248164)"
94,"(33.9940836, -117.9235077)"
95,"(34.21598, -118.239961)"
96,"(34.0462121, -118.4439236)"
97,"(34.69299050000001, -118.1657639)"
98,"(33.9372516, -118.2578244)"
99,"(33.928494, -118.2108969)"
100,"(34.1245206, -117.9956435)"
101,"(34.1832116, -118.1457365)"
102,"(33.9436252, -118.1373898)"
103,"(33.9048781, -118.2248846)"
104,"(34.0581913, -118.1739575)"
105,"(33.8674493, -118.1114488)"
106,"(33.7423936, -118.2879105)"
107,"(33.864716, -118.3025904)"
108,"(34.1001348, -117.8576553)"
109,"(34.3432173, -118.3607199)"
110,"(34.0914302, -118.3659477)"
111,"(33.7808105, -118.3098387)"
112,"(34.0405995, -118.1670319)"
113,"(33.9273128, -118.2105195)"
114,"(33.9260011, -118.2362911)"
