,officer,date,age,weapon,outcome,assignment,latlng,id
0,David M. Furmanski,1984-10-26,26,"(1, 'Gun')",1,Special Enforcement Bureau,"(34.1086311, -118.7660445)",SH2569401
1,Cecil Rhambo,1987-11-13,29,"(1, '')",2,Lynwood,"(33.8892144, -118.3228041)",SH0000001
2,Paul Tanaka,1988-03-08,21,"(0, '')",1,Lynwood,"(34.3871821, -118.1122679)",Unknown
3,Robert Thacker,1988-10-28,27,"(1, 'Gun')",1,Firestone,"(33.957252, -118.448591)",SH2422335
4,Cecil Rhambo,1988-12-20,27,"(1, '')",2,Narcotics Bureau,"(33.9525624, -118.2761258)",SH0000002
5,William Phelton,1989-04-11,50,"(1, '')",1,Lancaster,"(34.3871821, -118.1122679)",Unknown
6,Patrick Maxwell,1989-05-30,30,"(0, '')",1,Lennox,"(33.9164032, -118.3525748)",Unknown
7,Unknown,1989-06-17,20,"(2, '')",2,Lennox,,Unknown
8,Jason Mann,1990-03-01,32,"(0, '')",1,Lynwood,,100-7112/91-0351
9,Unknown,1990-07-04,21,"(1, 'Gun')",1,Firestone,"(33.989767, -118.2521176)",SH2422340
10,Liam Gallagher,1991-06-07,20,"(0, '')",2,Firestone,"(34.1495807, -118.1361989)",SH0523234
11,David Oliva,1991-06-30,28,"(0, '')",1,West Hollywood,"(34.0907706, -118.3518347)",SH0523232
12,Daniel K. Jackson,1991-07-29,22,"(1, 'Gun')",1,Norwalk - Narcotics Bureau,"(33.8189293, -118.168734)",SH0523240
13,Jason Mann,1991-08-03,19,"(0, '')",1,East Los Angeles,"(34.0586224, -118.1947944)",Unknown
14,Bruce J. Jacquez,1991-08-15,22,"(0, '')",0,Lomita - off duty,"(33.7990216, -118.1220703)",SH0523244
15,Michael E. Staley,1991-09-02,28,"(1, 'Gun')",1,Carson,"(34.3871821, -118.1122679)",SH0523256
16,Ruben Naranjo,1991-10-03,35,"(1, 'Gun')",1,Lakewood,"(33.8862256, -118.1729449)",SH0523200
17,Daniel Adlai Natkan,1991-10-06,41,"(0, '')",2,Firestone,"(33.968903, -118.2499421)",SH0523201
18,Michael Claus,1991-10-26,34,"(1, 'Gun')",0,Special Enforcement Bureau,"(33.8706237, -118.1969392)",SH0523199
19,Thomas Halstead,1991-11-23,28,"(1, 'Gun')",0,West Hollywood,"(34.0768734, -118.3629105)",SH523004
20,Thomas Halstead,1991-11-23,18,"(1, 'Gun')",0,West Hollywood,"(34.0768734, -118.3629105)",SH523004
21,Richard Biddle,1991-11-25,27,"(2, '')",2,Lakewood,,SH0523207
22,Guy Earl,1991-11-27,27,"(1, 'Gun')",1,West Hollywood,"(34.0813573, -118.3832218)",SH0523005
23,Scott Seeman,1991-11-29,19,"(1, 'Baton')",2,Santa Clarita,"(34.4360063, -118.5352933)",SH0523210
24,Gerald Vane Pillen,1991-12-16,22,"(0, '')",2,Lakewood,"(33.878242, -118.1774202)",SH0523212
25,Richard Ben Orosco,1992-02-27,31,"(1, 'Knife')",2,Norwalk,"(33.9106237, -118.0190607)",SH0523213
26,Unknown,1992-05-29,25,"(1, 'Gun')",2,Firestone,"(33.9678209, -118.1862695)",SH0523146
